,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Value
37667,B6FAPI03,"Portfolio investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-1840.2
37668,B6FAPI03,"Portfolio investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-2009.2
37669,B6FAPI03,"Portfolio investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,8273.8
37670,B6FAPI03,"Portfolio investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,-975.2
37671,B6FAPI03,"Portfolio investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,1705.4
37672,B6FAPI03,"Portfolio investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,583.5
37673,B6FAPI03,"Portfolio investment, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,2823.3
37674,B6FAFD01,"Financial derivatives, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,138.7
37675,B6FAFD01,"Financial derivatives, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,904.7
37676,B6FAFD01,"Financial derivatives, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,468.7
37677,B6FAFD01,"Financial derivatives, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-1145.7
37678,B6FAFD01,"Financial derivatives, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-65.3
37679,B6FAFD01,"Financial derivatives, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,-165.1
37680,B6FAFD01,"Financial derivatives, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,680.2
37681,B6FAFD01,"Financial derivatives, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,1559.5
37682,B6FAFD01,"Financial derivatives, net",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,1878.2
37683,B6DBPI01,"Primary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,17316.2
37684,B6DBPI01,"Primary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,10489.4
37685,B6DBPI01,"Primary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,8962.2
37686,B6DBPI01,"Primary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,9367.1
