,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,Reference Period Code,Reference Period,Value
5487,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2016-Q3,Q3-2016,IDX,Index,2015_100,2015=100,102.846
5488,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2016-Q4,Q4-2016,IDX,Index,2015_100,2015=100,103.7685
5489,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,2015_100,2015=100,105.3088
5490,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,2015_100,2015=100,105.9786
5491,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,2015_100,2015=100,107.7301
5492,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,2015_100,2015=100,108.7033
5493,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,2015_100,2015=100,110.4819
5494,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,2015_100,2015=100,111.2175
5495,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,2015_100,2015=100,112.718
5496,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,2015_100,2015=100,113.6886
5497,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,2015_100,2015=100,115.6683
5498,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2019-Q2,Q2-2019,IDX,Index,2015_100,2015=100,117.2172
5499,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2019-Q3,Q3-2019,IDX,Index,2015_100,2015=100,119.2582
5500,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2019-Q4,Q4-2019,IDX,Index,2015_100,2015=100,120.3006
5501,CP020000,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",IXOB,Index,Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,2015_100,2015=100,124.9006
5502,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2015-Q1,Q1-2015,IDX,Index,2015_100,2015=100,99.10779
5503,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2015-Q2,Q2-2015,IDX,Index,2015_100,2015=100,99.66924
5504,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2015-Q3,Q3-2015,IDX,Index,2015_100,2015=100,100.3516
5505,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2015-Q4,Q4-2015,IDX,Index,2015_100,2015=100,100.8714
5506,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2016-Q1,Q1-2016,IDX,Index,2015_100,2015=100,101.5668
5507,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2016-Q2,Q2-2016,IDX,Index,2015_100,2015=100,101.966
5508,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2016-Q3,Q3-2016,IDX,Index,2015_100,2015=100,102.7443
5509,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2016-Q4,Q4-2016,IDX,Index,2015_100,2015=100,103.551
5510,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,2015_100,2015=100,105.0036
5511,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,2015_100,2015=100,106.1811
5512,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,2015_100,2015=100,107.0713
5513,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,2015_100,2015=100,108.1348
5514,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,2015_100,2015=100,109.1981
5515,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,2015_100,2015=100,109.9582
5516,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,2015_100,2015=100,110.819
5517,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,2015_100,2015=100,113.1988
5518,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,2015_100,2015=100,114.676
5519,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2019-Q2,Q2-2019,IDX,Index,2015_100,2015=100,114.407
5520,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2019-Q3,Q3-2019,IDX,Index,2015_100,2015=100,114.953
5521,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2019-Q4,Q4-2019,IDX,Index,2015_100,2015=100,117.3664
5522,CPGRSE01,CPI: Services,IXOB,Index,Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,2015_100,2015=100,118.7043
5523,CP030000,CPI: 03 - Clothing and footwear,IXOB,Index,Q,Quarterly,2015-Q1,Q1-2015,IDX,Index,2015_100,2015=100,98.60938
5524,CP030000,CPI: 03 - Clothing and footwear,IXOB,Index,Q,Quarterly,2015-Q2,Q2-2015,IDX,Index,2015_100,2015=100,99.95671
